datetimemars_base_internal_temperature,mars_base_external_temperature,mars_base_internal_humidity,mars_base_external_illuminance,mars_base_internal_co2,mars_base_internal_oxygen
2025-09-08 14:55:46,24.42,18.04,57.2,644.38,0.0442,6.59,
2025-09-10 14:21:13,18.25,18.44,56.15,680.59,0.0963,5.76,
2025-09-10 14:21:14,28.88,15.52,57.29,711.79,0.0894,5.2,
2025-09-10 15:05:09,18.06,12.28,57.43,518.85,0.0273,6.08,
2025-09-10 18:07:37,25.56,7.21,54.79,688.09,0.0743,4.28,
2025-09-10 18:09:06,29.8,10.7,54.87,600.01,0.0322,5.2,
2025-09-10 18:11:39,19.3,1.72,54.58,544.38,0.0484,5.06,
2025-09-10 18:12:19,21.44,4.37,59.64,578.23,0.0883,6.57,
2025-09-10 18:12:19,24.09,15.61,52.64,639.58,0.0784,6.32,
2025-09-10 18:12:24,21.91,4.11,54.78,673.84,0.0462,4.8,
2025-09-10 18:12:29,23.42,8.54,53.55,711.81,0.0655,6.14,
2025-09-10 18:12:34,18.62,18.68,53.46,590.9,0.0784,5.72,
