datetimemars_base_internal_temperature,mars_base_external_temperature,mars_base_internal_humidity,mars_base_external_illuminance,mars_base_internal_co2,mars_base_internal_oxygen
2025-09-08 14:54:43,22.07,9.52,56.64,588.87,0.0923,4.11,
2025-09-08 14:54:53,22.21,7.8,52.12,559.12,0.098,5.94,
2025-09-08 14:54:58,26.05,7.16,51.09,545.3,0.0471,4.39,
2025-09-08 14:54:59,20.93,2.95,50.6,594.38,0.0951,5.26,
2025-09-10 14:21:01,27.32,18.11,56.46,701.31,0.0513,5.7,
2025-09-17 11:53:13,25.95,7.33,51.5,550.63,0.0407,4.11
2025-09-17 11:53:13,21.47,1.51,53.85,584.88,0.0328,4.27
2025-09-17 11:53:18,21.16,3.01,52.65,615.18,0.0323,6.57
2025-09-17 12:11:55,18.89,18.1,50.3,696.1,0.0932,4.11
2025-09-17 12:11:55,18.34,18.28,54.92,545.93,0.0595,6.97
2025-09-17 12:12:00,20.22,20.59,51.77,546.79,0.0766,6.03
2025-09-17 12:12:05,18.03,6.7,59.72,627.33,0.0814,6.62
2025-09-17 12:12:10,28.15,4.06,57.75,663.74,0.0518,5.66
2025-09-17 14:28:35,19.27,12.05,58.81,533.12,0.0868,6.6
2025-09-17 14:28:40,22.88,2.53,52.96,501.72,0.0473,4.49
2025-09-17 14:29:49,27.09,7.81,58.35,541.74,0.0759,6.44
2025-09-17 14:29:49,26.29,9.84,53.59,700.45,0.0529,6.82
2025-09-17 14:29:54,29.96,18.06,54.29,690.05,0.0369,6.29
2025-09-18 17:10:58,19.55,6.73,55.93,518.46,0.0984,5.52
2025-09-18 17:10:58,20.56,19.18,59.68,664.09,0.0792,6.18
2025-09-18 17:11:03,21.07,6.55,58.83,615.12,0.0729,5.53
2025-09-18 17:58:35,24.15,13.4,53.18,648.49,0.0657,6.57
2025-09-18 17:58:35,28.6,20.09,55.71,572.49,0.0331,6.2
2025-09-18 17:58:40,24.29,10.19,59.68,703.07,0.0267,5.92
2025-09-18 18:14:51,22.96,18.7,59.86,572.97,0.0234,5.5
2025-09-18 18:14:51,20.1,15.36,50.66,574.85,0.0943,5.08
2025-09-18 18:14:56,20.54,6.4,59.35,704.92,0.0686,4.14
2025-09-18 18:15:01,22.3,0.67,58.76,588.97,0.0772,4.76
2025-09-18 18:15:06,28.86,16.03,59.22,708.63,0.0854,6.82
2025-09-18 18:15:47,20.77,9.23,53.3,501.61,0.0716,6.48
2025-09-18 18:15:47,27.01,8.64,59.99,670.76,0.0564,5.02
2025-09-18 18:15:52,25.13,10.16,53.45,641.39,0.0639,5.9
2025-09-18 18:15:57,23.07,0.55,57.19,506.83,0.0912,4.98
2025-09-18 18:16:02,27.89,11.03,59.93,697.16,0.0256,5.59
2025-09-18 18:20:41,23.53,5.13,52.46,708.44,0.0924,5.43
2025-09-18 18:20:41,27.13,8.84,52.18,657.51,0.0425,4.74
2025-09-18 18:20:46,22.69,0.22,56.87,579.02,0.0372,5.54
2025-09-18 18:21:33,19.42,3.31,52.76,546.18,0.0805,6.07
2025-09-18 18:21:38,18.88,9.71,52.33,620.57,0.0344,5.82
2025-09-18 18:21:43,22.89,20.64,52.94,707.82,0.0593,5.0
2025-09-18 18:21:48,27.13,3.56,53.25,680.0,0.0754,6.89
2025-09-18 18:21:53,18.21,12.16,51.57,544.24,0.0357,6.63
2025-09-19 16:29:53,23.69,1.14,55.67,606.1,0.0711,4.44
2025-09-19 16:29:53,21.79,0.44,58.77,706.17,0.0971,6.28
2025-09-19 16:29:58,24.7,10.78,55.86,688.95,0.0502,6.54
2025-09-19 16:30:03,22.54,1.21,59.14,552.66,0.0776,6.21
